id,d,first_name,fn_initial,mn_initial,last_name
278487,0,B,B,J,Blaise
38884,0,G,G,R,Chiron
216645,0,G,G,"",Chiron
262034,0,G,G,R,Chiron
10486,170,L,L,"",Eklund
20147,170,L,L,"",Eklund
178932,702,L,L,M,Eklund
178934,105,L,L,M,Eklund
178936,641,L,L,"",Eklund
75083,1,D,D,P,Gaillot
153443,1,D,D,"",Gaillot
159036,0,D,D,P,Gaillot
162668,2,D,D,P,Gaillot
176124,1,D,D,P,Gaillot
181413,5,D,D,P,Gaillot
192971,3,D,D,P,Gaillot
203399,0,D,D,P,Gaillot
207137,2,D,D,P,Gaillot
223200,2,D,D,P,Gaillot
223201,0,D,D,P,Gaillot
228073,2,D,D,P,Gaillot
233749,3,D,D,P,Gaillot
233750,0,D,D,P,Gaillot
63433,4,A,A,M,Godard
221731,2,A,A,M,Godard
20865,2,A,A,"",Godard
129553,6,A,A,"",Godard
173889,1,A,A,R,Gosse
307917,0,A,A,"",Gosse
315998,3,A,A,"",Gosse
315999,4,A,A,"",Gosse
14560,4,J,J,P,Jouet
21267,5,J,J,P,Jouet
25606,7,J,J,P,Jouet
34557,7,J,J,P,Jouet
34591,5,J,J,P,Jouet
49303,0,J,J,P,Jouet
75011,13,J,J,P,Jouet
82904,8,J,J,P,Jouet
82980,7,J,J,P,Jouet
83020,8,J,J,P,Jouet
83022,6,J,J,P,Jouet
97646,18,J,J,"",Jouet
97657,18,J,J,"",Jouet
99751,20,J,J,P,Jouet
110017,6,J,J,P,Jouet
110181,8,J,J,P,Jouet
131781,8,J,J,P,Jouet
155292,4,J,J,P,Jouet
157846,7,J,J,P,Jouet
159390,6,J,J,P,Jouet
159417,7,J,J,P,Jouet
159418,9,J,J,P,Jouet
159455,8,J,J,P,Jouet
159583,5,J,J,P,Jouet
159645,6,J,J,P,Jouet
159647,7,J,J,P,Jouet
191490,6,J,J,"",Jouet
191792,6,J,J,P,Jouet
191794,6,J,J,P,Jouet
191807,7,J,J,P,Jouet
191819,7,J,J,P,Jouet
207944,6,J,J,P,Jouet
207959,8,J,J,P,Jouet
240394,6,J,J,P,Jouet
240463,6,J,J,P,Jouet
262683,4,J,J,P,Jouet
263481,6,J,J,P,Jouet
271527,12,J,J,P,Jouet
282004,8,J,J,P,Jouet
290882,5,J,J,P,Jouet
12441,4,G,G,"",Jouet
54278,2,G,G,"",Jouet
83446,1,G,G,"",Jouet
122198,1,G,G,L,Jouet
154207,3,G,G,"",Jouet
160000,2,G,G,"",Jouet
166559,0,G,G,"",Jouet
239137,12,G,G,"",Jouet
271861,5,G,G,"",Jouet
292379,3,G,G,"",Jouet
19940,13,P,P,I,Karakiewicz
38662,1,P,P,I,Karakiewicz
47187,1,P,P,T,Karakiewicz
48687,11,P,P,I,Karakiewicz
51686,4,P,P,I,Karakiewicz
57160,10,P,P,"",Karakiewicz
64883,6,P,P,I,Karakiewicz
64902,3,P,P,I,Karakiewicz
67962,1,P,P,I,Karakiewicz
70409,14,P,P,I,Karakiewicz
73584,5,P,P,I,Karakiewicz
74920,2,P,P,"",Karakiewicz
75281,15,P,P,I,Karakiewicz
79175,9,P,P,I,Karakiewicz
80073,19,P,P,I,Karakiewicz
84812,0,P,P,I,Karakiewicz
88887,0,P,P,I,Karakiewicz
89447,0,P,P,I,Karakiewicz
93271,0,P,P,I,Karakiewicz
110000,0,P,P,"",Karakiewicz
110003,0,P,P,I,Karakiewicz
118956,0,P,P,I,Karakiewicz
120269,0,P,P,I,Karakiewicz
124950,1,P,P,I,Karakiewicz
125553,1,P,P,"",Karakiewicz
125554,1,P,P,"",Karakiewicz
125556,0,P,P,I,Karakiewicz
125557,0,P,P,I,Karakiewicz
125571,1,P,P,I,Karakiewicz
125577,0,P,P,I,Karakiewicz
125588,1,P,P,"",Karakiewicz
125589,0,P,P,I,Karakiewicz
125616,14,P,P,I,Karakiewicz
125628,13,P,P,I,Karakiewicz
155280,9,P,P,I,Karakiewicz
155641,0,P,P,I,Karakiewicz
159948,9,P,P,I,Karakiewicz
163723,11,P,P,I,Karakiewicz
166900,4,P,P,"",Karakiewicz
181309,2,P,P,I,Karakiewicz
188152,16,P,P,I,Karakiewicz
194561,8,P,P,I,Karakiewicz
199902,0,P,P,I,Karakiewicz
205432,26,P,P,I,Karakiewicz
208388,19,P,P,"",Karakiewicz
208391,0,P,P,I,Karakiewicz
208393,21,P,P,I,Karakiewicz
208394,0,P,P,I,Karakiewicz
216379,14,P,P,I,Karakiewicz
236225,12,P,P,I,Karakiewicz
236226,10,P,P,"",Karakiewicz
237029,9,P,P,I,Karakiewicz
238176,17,P,P,I,Karakiewicz
238177,0,P,P,I,Karakiewicz
242893,11,P,P,I,Karakiewicz
249350,13,P,P,I,Karakiewicz
250570,13,P,P,I,Karakiewicz
250571,9,P,P,I,Karakiewicz
253489,10,P,P,I,Karakiewicz
254253,3,P,P,"",Karakiewicz
255406,3,P,P,I,Karakiewicz
261037,15,P,P,I,Karakiewicz
261333,15,P,P,I,Karakiewicz
270280,10,P,P,I,Karakiewicz
270282,14,P,P,I,Karakiewicz
270781,16,P,P,"",Karakiewicz
272601,3,P,P,"",Karakiewicz
273796,19,P,P,I,Karakiewicz
282021,9,P,P,I,Karakiewicz
282022,12,P,P,I,Karakiewicz
282023,12,P,P,I,Karakiewicz
282113,9,P,P,I,Karakiewicz
291246,8,P,P,I,Karakiewicz
291262,7,P,P,I,Karakiewicz
291269,19,P,P,I,Karakiewicz
291270,13,P,P,I,Karakiewicz
293384,5,P,P,"",Karakiewicz
293543,12,P,P,I,Karakiewicz
294023,0,P,P,I,Karakiewicz
294024,6,P,P,I,Karakiewicz
294412,13,P,P,I,Karakiewicz
294637,2,P,P,I,Karakiewicz
295005,7,P,P,I,Karakiewicz
296081,9,P,P,I,Karakiewicz
299713,19,P,P,I,Karakiewicz
19641,2,J,J,L,Puget
19646,1,J,J,L,Puget
19647,60,J,J,L,Puget
19648,17,J,J,L,Puget
19650,19,J,J,L,Puget
19651,32,J,J,L,Puget
35515,15,J,J,L,Puget
37516,9,J,J,L,Puget
37528,2,J,J,L,Puget
98498,7,J,J,L,Puget
104295,3,J,J,L,Puget
109301,59,J,J,L,Puget
116615,5,J,J,L,Puget
199005,2,J,J,L,Puget
232720,3,J,J,L,Puget
242109,10,J,J,L,Puget
259615,3,J,J,"",Puget
137791,11,J,J,"",Puget
277991,0,J,J,"",Puget
17117,4,J,J,"",Puget
53583,5,J,J,"",Puget
74240,7,J,J,"",Puget
78558,5,J,J,"",Puget
86489,3,J,J,"",Puget
90000,4,J,J,"",Puget
91340,0,J,J,"",Puget
92656,0,J,J,"",Puget
105534,4,J,J,"",Puget
117211,5,J,J,"",Puget
132513,5,J,J,"",Puget
169052,9,J,J,"",Puget
169055,3,J,J,"",Puget
169062,12,J,J,"",Puget
198956,5,J,J,"",Puget
205972,3,J,J,"",Puget
244222,4,J,J,"",Puget
304945,5,J,J,"",Puget
305770,2,J,J,"",Puget
14043,6,L,L,"",Ades
15102,18,L,L,"",Ades
34564,5,L,L,"",Ades
60763,0,L,L,"",Ades
65119,0,L,L,"",Ades
75650,0,L,L,"",Ades
82750,34,L,L,"",Ades
82849,0,L,L,"",Ades
82850,1,L,L,"",Ades
82990,1,L,L,"",Ades
82991,1,L,L,"",Ades
84151,7,L,L,"",Ades
108452,4,L,L,"",Ades
109099,3,L,L,"",Ades
112561,13,L,L,"",Ades
112611,13,L,L,"",Ades
112626,1,L,L,"",Ades
114792,6,L,L,"",Ades
115503,4,L,L,"",Ades
116390,1,L,L,"",Ades
117846,1,L,L,"",Ades
119102,4,L,L,"",Ades
122690,8,L,L,"",Ades
155205,1,L,L,"",Ades
159475,1,L,L,"",Ades
159476,1,L,L,"",Ades
159532,27,L,L,"",Ades
159586,8,L,L,"",Ades
159613,18,L,L,"",Ades
159671,20,L,L,"",Ades
159679,12,L,L,"",Ades
159699,2,L,L,"",Ades
